Ridership Rank,Station Name,Line,Ridership,Midtown Direct Binary,stop_id,Official NJT Station Name,stop_lat,stop_lon,avg_trains_per_hour,Duration to NY Penn (mins),Distance from NY Penn (km),Total Parking Spaces,station_name,Popoulation_Density_weighted_avg,Median_Household_Income_weighted_avg,Percent_Bach_Degree_weighted_avg,Labor_Force_Participation_Rate_weighted_avg,Employment_Rate_weighted_avg,Unemployment_Rate_weighted_avg,Percent_Public_Transit_Users_weighted_avg,Median_Age_weighted_avg,Walk_Score,Percent_Public_Transit_Users_log,Ridership_log,avg_trains_per_hour_log,Duration_to_NY_Penn_log,Population_Density_log,Median_Household_Income_sqrt,Percent_Bach_Degree_log,Labor_Force_Participation_log,Employment_Rate_reciprocal,Unemployment_Rate_log,Median_Age_sqrt,Median_Household_Income_log,Total_Parking_Spaces_Log
87,Westwood (Pascack),Pascack,451.0,0,156,WESTWOOD,40.990817,-74.032696,3.4545454545454546,51.0,36.371084,220,WESTWOOD,2080.2659414125487,123729.07843397284,34.65600731709555,71.65976360116998,97.9637939143666,2.9718177101809897,8.918207782288638,44.14896588585162,46.0,2.2943722378665132,6.113682179832232,1.4939250253122562,3.9512437185814275,7.640731613236981,351.75144411071415,3.5739176408578177,4.285787773294369,0.010207852922418797,1.37922385141905,6.644468818938924,11.725857685120152,5.3981627015177525
88,WATSESSING AVENUE (M-B),M-B,434.0,1,154,WATSESSING AVENUE,40.782743,-74.198451,5.863636363636363,29.0,22.047958,59,WATSESSING AVENUE,4530.918868156759,72546.35148490986,22.507832834877743,70.18059673570977,92.59717682196006,8.572181805828105,19.19229844586188,36.88309726041693,16.627934891711867,3.005301266650816,6.075346031088684,1.9262373834566084,3.4011973816621555,8.418900719992235,269.3442991505665,3.157333677736425,4.265220263521333,0.010799465321958315,2.258861163370569,6.07314558202065,11.191994751579946,4.0943445622221
89,Allendale (MLBC),MLBC,423.0,0,3,ALLENDALE,41.030902,-74.130957,6.681818181818182,63.0,40.555368,251,ALLENDALE,880.7849404820388,164338.34210014218,43.215384851296726,61.116557251288135,96.11210508200963,4.3741182247672254,16.491195160991992,44.70743194502343,29.280517276576795,2.861697620657658,6.049733455231958,2.0388562615647574,4.1588830833596715,6.781948194622004,405.3866575260491,3.789072802078854,4.129012575805993,0.01040451667505076,1.681594509349758,6.686361637319913,12.00968872819216,5.529429087511423
90,Anderson Street (Pascack),Pascack,417.0,0,5,ANDERSON STREET,40.894458,-74.043781,3.5454545454545454,38.0,24.783836,50,ANDERSON STREET,3668.155833932832,82780.83044679077,29.625835581974016,70.40366230192299,96.22606877187584,4.172475732373519,20.137828519182133,40.04783811367907,36.0,3.051064256111357,6.035481432524756,1.5141277326297755,3.6635616461296463,8.207716896588465,287.71658006932927,3.421843952802037,4.268349160774131,0.0103921942646406,1.64335143896363,6.3283361252132515,11.32396387724466,3.9318256327243257
91,Oradell (Pascack),Pascack,401.0,0,111,ORADELL,40.953478,-74.029983,3.4545454545454546,47.0,31.703998,304,ORADELL,1137.4191343824796,178941.6375376217,40.872256263252325,63.95188124061921,96.47776826106757,4.0928764946149085,15.58709430451539,43.8829682562108,10.638498103063178,2.8086249414551054,5.996452088619021,1.4939250253122562,3.871201010907891,7.037395854770789,423.01493772397885,3.7346234659269797,4.173646707140861,0.010365082215563001,1.627842797581906,6.624422107339688,12.094820572780717,5.720311776607412
92,Hillsdale (Pascack),Pascack,398.0,0,62,HILLSDALE,41.002414,-74.041033,3.619047619047619,50.0,37.497622,261,HILLSDALE,1664.409847015126,141877.18004036832,31.309095424599704,69.01317886540947,96.58626968504062,3.5919112851856263,8.408367576090878,44.1293250948494,13.964789295495638,2.2415994609809267,5.988961416889864,1.5301885407799598,3.9318256327243257,7.4178265264869685,376.66587320909275,3.475348782681869,4.248683493834729,0.010353438467609449,1.5242963394024254,6.642990673999882,11.862724081348057,5.568344503761097
93,Lyons (GLAD),GLAD,385.0,0,76,LYONS,40.684844,-74.54947,5.863636363636363,79.0,55.52223,331,LYONS,519.8190801649409,219767.86854251308,34.2671686192743,57.51237830825144,94.75027284436304,5.249727155636952,9.232641102135698,47.53393085523481,7.985915718198255,2.325582718894593,5.955837369464831,1.9262373834566084,4.382026634673881,6.255402726484675,468.7940577081935,3.5629524637155083,4.0692383268675885,0.010554059318041244,1.832537807697311,6.894485539562384,12.30033167553604,5.805134968916488
94,Montclair Heights (M-B),M-B,350.0,1,89,MONTCLAIR HEIGHTS,40.857536,-74.2025,4.904761904761905,52.0,30.738394000000003,63,MONTCLAIR HEIGHTS,1326.657668322451,168360.5568297738,39.42600683572914,64.531718806726,96.07425270082668,5.01508567499526,16.37285854454742,43.22831716208691,20.613850609910127,2.854909134620364,5.860786223465865,1.7757591278816138,3.970291913552122,7.1911715169277635,410.31762919691107,3.6994733114171865,4.18253428201806,0.010408615959928206,1.7942705928821878,6.574824496675703,12.033869069870583,4.1588830833596715
95,Essex Street (Pascack),Pascack,349.0,0,43,ESSEX STREET,40.878973,-74.051893,3.5,35.0,23.013562,214,ESSEX STREET,2854.293476391899,69342.09335585205,19.90920677274296,68.20803557677976,95.66062012402892,4.4764279772461055,14.537705466491223,38.18502168422421,18.666666666666668,2.743269680658725,5.857933154483459,1.5040773967762742,3.58351893845611,7.956929910639726,263.32886920323045,3.0401895774145697,4.2371169769338275,0.010453622386133902,1.7004530594573708,6.179403020051711,11.1468218296638,5.3706380281276624
96,Bridgewater (RVL),RVL,346.0,0,24,BRIDGEWATER,40.559904,-74.551741,5.909090909090909,74.0,55.844098,467,BRIDGEWATER,858.5028006195221,65500.15176191936,18.17134289683277,78.7305281213188,96.95081228704235,3.049187712957653,4.523503724404342,38.73268535366165,7.964789295495639,1.7090123916133622,5.849324779946859,1.9328380674879606,4.31748811353631,6.756354083246358,255.92997433266655,2.9534166066036494,4.378652550364519,0.010314508732936647,1.3985162963008442,6.223558897741842,11.089823005620184,6.148468295917647
