Ridership Rank,Station Name,Line,Ridership,Midtown Direct Binary,stop_id,Official NJT Station Name,stop_lat,stop_lon,avg_trains_per_hour,Duration to NY Penn (mins),Distance from NY Penn (km),Total Parking Spaces,station_name,Popoulation_Density_weighted_avg,Median_Household_Income_weighted_avg,Percent_Bach_Degree_weighted_avg,Labor_Force_Participation_Rate_weighted_avg,Employment_Rate_weighted_avg,Unemployment_Rate_weighted_avg,Percent_Public_Transit_Users_weighted_avg,Median_Age_weighted_avg
58,North Elizabeth (NEC),NEC,758.0,1,109,NORTH ELIZABETH,40.680265,-74.206165,8.0,27.0,23.496364,123,NORTH ELIZABETH,1691.9949736828637,71362.72925816521,7.776200329067683,34.75249758410701,97.65528133460836,8.616872338824429,13.71222256550878,36.51034398205066
59,Little Silver (NJCL),NJCL,709.0,1,73,LITTLE SILVER,40.326715,-74.041054,8.608695652173912,95.0,76.282716,553,LITTLE SILVER,593.5341585042938,189216.29012073565,32.44753701531077,58.042107666335134,97.1562349218143,3.7732408866958274,9.13178685659216,44.68164691159025
61,Somerville (RVL),RVL,685.0,0,138,SOMERVILLE,40.566075,-74.61397,6.0,79.0,61.315854,581,SOMERVILLE,934.3115393452024,101557.57313686969,27.648333873144704,73.81202777410869,95.7890091786067,3.69617279980994,1.7560196064305773,40.36418507497085
62,Delawanna (MLBC),MLBC,645.0,0,33,DELAWANNA,40.831369,-74.131262,5.727272727272728,30.0,17.541806,138,DELAWANNA,1696.52878269989,113054.614038404,33.18727897940209,74.0153314648299,93.30843805119794,7.844853598730554,14.765102253611945,41.28168310569782
63,Paterson (MLBC),MLBC,632.0,0,116,PATERSON,40.914887,-74.16733,5.590909090909091,45.0,28.002516,697,PATERSON,7560.067714711602,39995.77342862526,7.253289986373235,58.571706789720615,92.72907472052536,7.359974324771516,14.16198198162732,33.65056401797044
64,Upper Montclair (M-B),M-B,619.0,1,150,UPPER MONTCLAIR,40.842004,-74.209368,4.681818181818182,47.0,28.96812,109,UPPER MONTCLAIR,1652.3573141542413,183884.9230972451,41.03410673710362,63.8394449036264,96.35179183638115,5.079592663463557,25.223204120456263,46.60580894792447
65,Morris Plains (M&E),M&E,619.0,1,91,MORRIS PLAINS,40.828637,-74.478197,8.136363636363637,67.0,55.844098,245,MORRIS PLAINS,662.1439923116394,133235.4892419258,34.79319322054038,68.98950389759543,95.86624107908207,4.133758920917946,5.861776133235413,41.93470613577912
66,Passaic (MLBC),MLBC,617.0,0,115,PASSAIC,40.849411,-74.133933,5.727272727272728,34.0,19.633948,92,PASSAIC,5537.850511474805,86433.97664032139,20.98388254905059,61.59073979076162,92.31522605918164,8.563553216491444,14.247836424245277,33.47629551031405
67,Plauderville (MLBC),MLBC,597.0,0,121,PLAUDERVILLE,40.884916,-74.102695,5.590909090909091,37.0,23.33543,260,PLAUDERVILLE,4079.613282716906,78367.96389377106,19.097188136993672,64.5194788636236,96.07919027928882,4.666537792253696,10.101844548300985,41.49051521581743
69,MSU (M-B),M-B,583.0,1,38081,MSU,40.869782,-74.197439,4.954545454545454,56.0,32.347734,1535,MSU,1362.7437604098484,116816.44171323624,33.6867654766895,62.15636304344657,95.22991311072424,6.658604994614554,7.45140779149789,47.21700293728267
70,Kingsland (MLBC),MLBC,583.0,0,66,KINGSLAND,40.810121,-74.117334,5.727272727272728,27.0,16.89807,19,KINGSLAND,1532.432329689753,102679.05040070535,32.80127157865015,76.7944468459128,95.5615596221859,5.813911975133059,26.340925157756388,37.695679393912656
71,Raritan (RVL),RVL,577.0,0,129,RARITAN,40.571005,-74.634364,6.0,82.0,63.086128,283,RARITAN,577.6115557294952,108934.2903756073,24.40552383036199,74.16132501668791,96.66892858968636,3.3331037996150825,4.149712545467538,41.31640130336713
72,Murray Hill (GLAD),GLAD,572.0,0,99,MURRAY HILL,40.695068,-74.403134,5.863636363636363,56.0,42.003774,214,MURRAY HILL,925.163059069986,166016.15758908412,33.851936640364585,62.62617015497851,94.37333931173828,6.014261524141961,17.065571109659732,42.546808891271866
73,Bound Brook (RVL),RVL,571.0,0,21,BOUND BROOK,40.560929,-74.530617,5.954545454545454,71.0,53.91289,282,BOUND BROOK,1388.0014272007431,99383.93523856672,27.080876139108486,70.00443062393549,95.56978013328852,4.805608698919384,5.45597485176035,40.06359523399164
